total_box,budget,release_coverage,pindex
2511476,0,0.002472061,3212183
16101339,0,0.02713372,3212356
32465,0,0.000103003,3213450
12306,0,2.58E-05,3214040
2512846,2.00E+06,0.00602715,3214164
13716,0,5.21E-05,3214169
46357676,3.00E+07,0.047400679,3214205
450726,0,0.002421203,3214237
14273,0,0.000386658,3214264
15313,0,0.000188294,3214347
9409538,1.40E+07,0.07604256,3214633
110332737,1.00E+08,0.085942475,3214656
8141292,0,0.050936424,3215044
532268,0,0.001759868,3215059
25537221,0,0.067318086,3215096
1294919,0,0.007423828,3215104
77070,0,8.41E-05,3215118
2844,0,0.000104126,3215142
51855045,7.50E+07,0.07667015,3215166
223202,0,0.001015228,3215308
238679850,1.60E+08,0.094218469,3215456
353007020,1.90E+08,0.10053492,3215480
17630465,3.50E+07,0.075961538,3215543
85817906,6.80E+07,0.082916208,3215632
3020784,0,0.013870208,3217012
119436770,1.50E+08,0.094231897,3217074
48169156,0,0.064114232,3217172
8593,0,0.000312378,3217173
122523060,1.30E+08,0.093294024,3217192
150201498,1.75E+08,0.102133408,3217198
5917,0,7.51E-05,3217443
2335352,0,0.000844928,3217495
5534,0,2.50E-05,3217522
125400,0,0,3217549
71583916,4.50E+07,0.065982602,3218406
129664,0,0.000344937,3218962
20534907,0,0.063772844,3219312
113622,0,0.000109785,3219405
30497,0,0.000112202,3219872
5906773,0,0.039541817,3219876
77812000,1.00E+08,0.065568258,3220307
46000903,6.00E+07,0.077528483,3220393
21886,0,0.000180254,3220949
26782316,2500000,0.022313709,3220966
5262047,0,0.026985317,3221002
11436,0,2.58E-05,3221003
75369589,5.00E+07,0.086455331,3221062
28426747,0,0.077599896,3221087
19402,0,2.80E-05,3221205
1342613,0,0,3221541
30846,0,5.06E-05,3221579
12532777,0,0.040138083,3221924
249565,0,0.000132668,3222467
14062,0,2.52E-05,3222531
7358,0,0,3224227
8601,0,0.000100852,3224329
151751,0,0.000547618,3224466
849521,0,0.002098741,3224486
22271,0,2.49E-05,3224530
374550,0,0.00016159,3224787
1361045,0,0.003783542,3224876
113682,1.00E+07,0.000458797,3225283
2976,0,2.60E-05,3225613
105263257,5.50E+07,0.082096344,3225730
247406,0,0.00016493,3225781
